p.id,p.title,p.year,p.venue,p.venuetype,p.keyword,p.doi,p.abstract,p.notes,f.cat0,f.cat1,f.cat2,f.uc0,f.uc1,f.uc2,f.user,d.source,d.vgi,d.official,d.reference,a.type,a.collec,a.prep1,a.prep2,a.prep3,a.analysis1,a.analysis2,a.analysis3,a.viz,a.tool
p58,Inferring the Location of Twitter Messages Based on User Relationships,2011,Transactions in GIS,journal,NA,http://dx.doi.org/10.1111/j.1467-9671.2011.01297.x,"User interaction in social networks, such as Twitter and Facebook, is increasingly becoming a source of useful information on daily events. The online monitoring of short messages posted in such networks often provides insight on the repercussions of events of several different natures, such as (in the recent past) the earthquake and tsunami in Japan, the royal wedding in Britain and the death of Osama bin Laden. Studying the origins and the propagation of messages regarding such topics helps social scientists in their quest for improving the current understanding of human relationships and interactions. However, the actual location associated to a tweet or to a Facebook message can be rather uncertain. Some tweets are posted with an automatically determined location (from an IP address), or with a user-informed location, both in text form, usually the name of a city. We observe that most Twitter users opt not to publish their location, and many do so in a cryptic way, mentioning non-existing places or providing less specific place names (such as ?Brazil?). In this article, we focus on the problem of enriching the location of tweets using alternative data, particularly the social relationships between Twitter users. Our strategy involves recursively expanding the network of locatable users using following-follower relationships. Verification is achieved using cross-validation techniques, in which the location of a fraction of the users with known locations is used to determine the location of the others, thus allowing us to compare the actual location to the inferred one and verify the quality of the estimation. With an estimate of the precision of the method, it can then be applied to locationless tweets. Our intention is to infer the location of as many users as possible, in order to increase the number of tweets that can be used in spatial analyses of social phenomena. The article demonstrates the feasibility of our approach using a dataset comprising tweets that mention keywords related to dengue fever, increasing by 45% the number of locatable tweets.",,data-centric,data contextualization,reasoning on location,man-made disaster,disease outbreaks,Fewer outbreaks,emergency managers,Twitter,,no,,exploratory,api,"Compare precision and recall using different types of Twitter location (GeoIP, GPS, locaiton of one's followers)",,geo-parsing ,,,,,no
p58,Inferring the Location of Twitter Messages Based on User Relationships,2011,Transactions in GIS,journal,NA,http://dx.doi.org/10.1111/j.1467-9671.2011.01297.x,"User interaction in social networks, such as Twitter and Facebook, is increasingly becoming a source of useful information on daily events. The online monitoring of short messages posted in such networks often provides insight on the repercussions of events of several different natures, such as (in the recent past) the earthquake and tsunami in Japan, the royal wedding in Britain and the death of Osama bin Laden. Studying the origins and the propagation of messages regarding such topics helps social scientists in their quest for improving the current understanding of human relationships and interactions. However, the actual location associated to a tweet or to a Facebook message can be rather uncertain. Some tweets are posted with an automatically determined location (from an IP address), or with a user-informed location, both in text form, usually the name of a city. We observe that most Twitter users opt not to publish their location, and many do so in a cryptic way, mentioning non-existing places or providing less specific place names (such as ?Brazil?). In this article, we focus on the problem of enriching the location of tweets using alternative data, particularly the social relationships between Twitter users. Our strategy involves recursively expanding the network of locatable users using following-follower relationships. Verification is achieved using cross-validation techniques, in which the location of a fraction of the users with known locations is used to determine the location of the others, thus allowing us to compare the actual location to the inferred one and verify the quality of the estimation. With an estimate of the precision of the method, it can then be applied to locationless tweets. Our intention is to infer the location of as many users as possible, in order to increase the number of tweets that can be used in spatial analyses of social phenomena. The article demonstrates the feasibility of our approach using a dataset comprising tweets that mention keywords related to dengue fever, increasing by 45% the number of locatable tweets.",,crisis-centric,crisis management (health),health trends detection,man-made disaster,disease outbreaks,Fewer outbreaks,emergency managers,Twitter,,no,,exploratory,api,"Compare precision and recall using different types of Twitter location (GeoIP, GPS, locaiton of one's followers)",,geo-parsing ,,,,,no
p59,Geo-parsing Messages from Microtext,2011,Transactions in GIS,journal,NA,http://dx.doi.org/10.1111/j.1467-9671.2011.01294.x,"Widespread use of social media during crises has become commonplace, as shown by the volume of messages during the Haiti earthquake of 2010 and Japan tsunami of 2011. Location mentions are particularly important in disaster messages as they can show emergency responders where problems have occurred. This article explores the sorts of locations that occur in disaster-related social messages, how well off-the-shelf software identifies those locations, and what is needed to improve automated location identification, called geo-parsing. To do this, we have sampled Twitter messages from the February 2011 earthquake in Christchurch, Canterbury, New Zealand. We annotated locations in messages manually to make a gold standard by which to measure locations identified by a Named Entity Recognition software. The Stanford NER software found some locations that were proper nouns, but did not identify locations that were not capitalized, local streets and buildings, or non-standard place abbreviations and mis-spellings that are plentiful in microtext. We review how these problems might be solved in software research, and model a readable crisis map that shows crisis location clusters via enlarged place labels.",,data-centric,data preparation,location selection and classification,natural disaster,earthquakes,2011 New Zealand Christchurch earthquake ,NA,Twitter,,no,,exploratory,api,manual annotation of location to create a gold standard (training set),automated annotation of location using Name Entity Recognition and geo-referencing services,"geo-parsing, i.e.  use of geo-referencing services",,,,basic mapping,no
p60,Inferring social ties from geographic coincidences,2011,PNAS,journal,computer science; privacy; probabilistic models; social networks,http://www.pnas.org/content/early/2010/12/02/1006155107.full.pdf,,,data-centric,data preparation,location selection and classification,NA,NA,NA,NA,Flickr,geo-taggged photos,no,,inferential,api,,,geo-parsing,,,,,no
p60,Inferring social ties from geographic coincidences,2011,PNAS,journal,computer science; privacy; probabilistic models; social networks,http://www.pnas.org/content/early/2010/12/02/1006155107.full.pdf,,,human-centric,human activities,people colocation,NA,NA,NA,NA,Flickr,geo-taggged photos,no,,inferential,api,,,,SNA - link analysis,Probabilistic models,,,no
p62,Leveraging Explicitly Disclosed Location Information to Understand Tourist Dynamics: A Case Study,2008,Journal of Location-based Services,journal,spatio-temporal data analysis; geovisualization; location-discloure; location-based services,http://www.girardin.org/fabien/publications/girardin_dalfiore_ratti_blat_jlbs_final_pre_editing.pdf,,,human-centric,human activities,daily life activities habits,man-made disaster,crowded areas,province of Florence,local authorities; tourism agencies,Flickr,geo-taggged information from EXIF mentadata embedded in photo files,no,,exploratory,api,,,,SNA - link analysis,,,geovisualizations for heatmaps and spatio-temporal flow animations,no
p62,Leveraging Explicitly Disclosed Location Information to Understand Tourist Dynamics: A Case Study,2008,Journal of Location-based Services,journal,spatio-temporal data analysis; geovisualization; location-discloure; location-based services,http://www.girardin.org/fabien/publications/girardin_dalfiore_ratti_blat_jlbs_final_pre_editing.pdf,,,human-centric,human mobility,mobility patterns,man-made disaster,crowded areas,province of Florence,local authorities; tourism agencies,Flickr,geo-taggged information from EXIF mentadata embedded in photo files,no,,exploratory,api,,,,,,spatiotemporal inbound and outbound flow of tourists (concentration and movement patterns) ,geovisualizations for heatmaps and spatio-temporal flow animations,no
p67,Geosocial gauge: a system prototype for knowledge discovery from social media,2013,International Journal of Geographical Information Science,journal,social media; geosocial analysis; social network analysis; event monitoring; system architecture,http://www.tandfonline.com/doi/abs/10.1080/13658816.2013.825724#.U7-RY_l_tUU,,,human-centric,human relations,community formation,man-made disaster,riots,US political crisis,NA,Twitter; Flickr,,no,,exploratory,api,,,,"SNA structure (popular contributors, bridge nodes); network visualizations",,geosocial media data model,basic mapping,no
p70,Automated geographic context analysis for volunteered information,2013,Applied Geography,journal,volunteered geographic information; social media; spatial data infrastructures; spatio-temporal clustering; geographic context analysis,http://www.sciencedirect.com/science/article/pii/S0143622813001185,,VGI contextualization,data-centric,data preparation,topic selection and classification,man-made disaster,wildfires,NA,response agencies,Twitter; Flickr,,yes,EFFIS hotspot data; EMM; CORINE data; MODIS data,exploratory,api,manual geo-coding evaluation,topic detencion; classification; clustering ,,,,spatio-temporal clustering,basic mapping,yes
p70,Automated geographic context analysis for volunteered information,2013,Applied Geography,journal,volunteered geographic information; social media; spatial data infrastructures; spatio-temporal clustering; geographic context analysis,http://www.sciencedirect.com/science/article/pii/S0143622813001185,,VGI contextualization,data-centric,data preparation,location selection,man-made disaster,wildfires,NA,response agencies,Twitter; Flickr,,yes,EFFIS hotspot data; EMM; CORINE data; MODIS data,exploratory,api,,,geo-parsing,,,spatio-temporal clustering,basic mapping,yes
p70,Automated geographic context analysis for volunteered information,2013,Applied Geography,journal,volunteered geographic information; social media; spatial data infrastructures; spatio-temporal clustering; geographic context analysis,http://www.sciencedirect.com/science/article/pii/S0143622813001185,,VGI contextualization,data-centric,data contextualization,context enrichment,man-made disaster,wildfires,NA,response agencies,Twitter; Flickr,,yes,EFFIS hotspot data; EMM; CORINE data; MODIS data,exploratory,api,,,combination of social and official data to produce relevant actionable information ,,,spatio-temporal clustering,basic mapping,yes
p70,Automated geographic context analysis for volunteered information,2013,Applied Geography,journal,volunteered geographic information; social media; spatial data infrastructures; spatio-temporal clustering; geographic context analysis,http://www.sciencedirect.com/science/article/pii/S0143622813001185,,VGI contextualization,data-centric,data quality,comparison with official data,man-made disaster,wildfires,NA,response agencies,Twitter; Flickr,,yes,EFFIS hotspot data; EMM; CORINE data; MODIS data,exploratory,api,,,geo-context scoring,,,spatio-temporal clustering,basic mapping,yes
p71,Thematic Patterns in Georeferenced Tweets through Space-Time Visual Analytics,2013,Computing in Science and Engineering,journal,georeferencing; scientific computing; visual analytics,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=6550013,,,data-centric,data preparation,topic selection and classification,man-made disaster,crowded areas,Seattle city,city planners,Twitter,,yes,US Census (population density),exploratory,api,distinguish manually between locals and visitors tweets,topic detection; classifiers; word frequency; clustering,,,,,basic mapping; tagcloud visualization,no
p71,Thematic Patterns in Georeferenced Tweets through Space-Time Visual Analytics,2013,Computing in Science and Engineering,journal,georeferencing; scientific computing; visual analytics,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=6550013,,,human-centric,human activities,daily life activities habits,man-made disaster,crowded areas,Seattle city,city planners,Twitter,,yes,US Census (population density),exploratory,api,distinguish manually between locals and visitors tweets,,,,,spatio-temporal cluster; spatio-temporal distances; voronoi calculation,basic mapping; tagcloud visualization,no
p73,Finding and assessing social media information sources in the context of journalism,2012,International conference on Human Factors in Computing Systems,conference,"computational journalism; social media; news events 
",http://dl.acm.org/citation.cfm?id=2208409,,,data-centric,data preparation,topic selection and classification,man-made disaster,riots,NA,journalists,Twitter,,no,,exploratory,api,,Named Entity Recognition; word frequency; classifiers,,,,,basic mapping,yes
p73,Finding and assessing social media information sources in the context of journalism,2012,International conference on Human Factors in Computing Systems,conference,"computational journalism; social media; news events 
",http://dl.acm.org/citation.cfm?id=2208409,,,data-centric,data contextualization,reasoning on location,man-made disaster,riots,NA,journalists,Twitter,,no,,exploratory,api,,,geo-parsing; aggregate location information from one's friend network to identify the most prevalent location of an user,,,,basic mapping,yes
p73,Finding and assessing social media information sources in the context of journalism,2012,International conference on Human Factors in Computing Systems,conference,"computational journalism; social media; news events 
",http://dl.acm.org/citation.cfm?id=2208409,,,data-centric,data quality,actionable information,man-made disaster,riots,NA,journalists,Twitter,,no,,exploratory,api,,,,,,Proximity to an event and user?s aggregate location are key aspect to verify social media sources,basic mapping,yes
p75,Spatial Computing and Social Media in the Context of Disaster Management,2012,IEEE Intelligent Systems,journal,NA,http://dx.doi.org/10.1109/MIS.2012.113,"The growing trend of using smartphones and other GPS-enabled devices has provided new opportunities for developing spatial computing applications and technologies in unanticipated and unprecedented ways. Some capabilities of today's smartphones highlight the potential of citizen sensors to enable the next generation of geoinformatics. One promising application area for this is social media and its application to disaster management. Dynamic, real-time incident information collected from onsite human responders about the extent of damage, the evolution of the event, the community's needs, and responders' ability to deal with the situation, combined with information from the larger emergency management community, could lead to more accurate and real-time situational awareness. This would enable informed decisions, better resource allocation and thus a better response and outcome to the total crisis. In this context, the US Department of Homeland Security's Science & Technology Directorate (DHS-S&T) has initiated the Social Media Alert and Response to Threats to Citizens"" (SMART-C) program, which aims to develop citizen participatory sensing capabilities for decision support throughout the disaster life cycle via a multitude of devices and modalities. Here, the authors provide an overview of the envisioned SMART-C system's capabilities and discuss some of the interesting and unique challenges that arise due to the combination of spatial computing and social media within the context of disaster management.","unique challenges like cloud, privacy, data integration",data-centric,data preparation,topic selection and classification,natural and man-made disaster,NA,NA,emergency managers,Multiple  sources ,MMS messages; Web portals; blogs; Twitter; Facebook,no,,exploratory,api (subscription system),,disambiguate event types,,,,,,yes
p75,Spatial Computing and Social Media in the Context of Disaster Management,2012,IEEE Intelligent Systems,journal,NA,http://dx.doi.org/10.1109/MIS.2012.113,"The growing trend of using smartphones and other GPS-enabled devices has provided new opportunities for developing spatial computing applications and technologies in unanticipated and unprecedented ways. Some capabilities of today's smartphones highlight the potential of citizen sensors to enable the next generation of geoinformatics. One promising application area for this is social media and its application to disaster management. Dynamic, real-time incident information collected from onsite human responders about the extent of damage, the evolution of the event, the community's needs, and responders' ability to deal with the situation, combined with information from the larger emergency management community, could lead to more accurate and real-time situational awareness. This would enable informed decisions, better resource allocation and thus a better response and outcome to the total crisis. In this context, the US Department of Homeland Security's Science & Technology Directorate (DHS-S&T) has initiated the Social Media Alert and Response to Threats to Citizens"" (SMART-C) program, which aims to develop citizen participatory sensing capabilities for decision support throughout the disaster life cycle via a multitude of devices and modalities. Here, the authors provide an overview of the envisioned SMART-C system's capabilities and discuss some of the interesting and unique challenges that arise due to the combination of spatial computing and social media within the context of disaster management.","unique challenges like cloud, privacy, data integration",data-centric,data preparation,location selection,natural and man-made disaster,NA,NA,emergency managers,Multiple  sources ,MMS messages; Web portals; blogs; Twitter; Facebook,no,,exploratory,api (subscription system),,,geospatial reasoning to automatically extract and characterize the event in both space and time,,,,,yes
p75,Spatial Computing and Social Media in the Context of Disaster Management,2012,IEEE Intelligent Systems,journal,NA,http://dx.doi.org/10.1109/MIS.2012.113,"The growing trend of using smartphones and other GPS-enabled devices has provided new opportunities for developing spatial computing applications and technologies in unanticipated and unprecedented ways. Some capabilities of today's smartphones highlight the potential of citizen sensors to enable the next generation of geoinformatics. One promising application area for this is social media and its application to disaster management. Dynamic, real-time incident information collected from onsite human responders about the extent of damage, the evolution of the event, the community's needs, and responders' ability to deal with the situation, combined with information from the larger emergency management community, could lead to more accurate and real-time situational awareness. This would enable informed decisions, better resource allocation and thus a better response and outcome to the total crisis. In this context, the US Department of Homeland Security's Science & Technology Directorate (DHS-S&T) has initiated the Social Media Alert and Response to Threats to Citizens"" (SMART-C) program, which aims to develop citizen participatory sensing capabilities for decision support throughout the disaster life cycle via a multitude of devices and modalities. Here, the authors provide an overview of the envisioned SMART-C system's capabilities and discuss some of the interesting and unique challenges that arise due to the combination of spatial computing and social media within the context of disaster management.","unique challenges like cloud, privacy, data integration",data-centric,data policies,privacy,natural and man-made disaster,NA,NA,emergency managers,Multiple  sources ,MMS messages; Web portals; blogs; Twitter; Facebook,no,,exploratory,api (subscription system),,,,,,,,yes
p75,Spatial Computing and Social Media in the Context of Disaster Management,2012,IEEE Intelligent Systems,journal,NA,http://dx.doi.org/10.1109/MIS.2012.113,"The growing trend of using smartphones and other GPS-enabled devices has provided new opportunities for developing spatial computing applications and technologies in unanticipated and unprecedented ways. Some capabilities of today's smartphones highlight the potential of citizen sensors to enable the next generation of geoinformatics. One promising application area for this is social media and its application to disaster management. Dynamic, real-time incident information collected from onsite human responders about the extent of damage, the evolution of the event, the community's needs, and responders' ability to deal with the situation, combined with information from the larger emergency management community, could lead to more accurate and real-time situational awareness. This would enable informed decisions, better resource allocation and thus a better response and outcome to the total crisis. In this context, the US Department of Homeland Security's Science & Technology Directorate (DHS-S&T) has initiated the Social Media Alert and Response to Threats to Citizens"" (SMART-C) program, which aims to develop citizen participatory sensing capabilities for decision support throughout the disaster life cycle via a multitude of devices and modalities. Here, the authors provide an overview of the envisioned SMART-C system's capabilities and discuss some of the interesting and unique challenges that arise due to the combination of spatial computing and social media within the context of disaster management.","unique challenges like cloud, privacy, data integration",crisis-centric,crisis management (detection and prediction),real-time alerting,natural and man-made disaster,NA,NA,emergency managers,Multiple  sources ,MMS messages; Web portals; blogs; Twitter; Facebook,no,,exploratory,api (subscription system),,,,,,,,yes
p77,Web 2.0 geotagged photos: Assessing the spatial dimension of the phenomenon,2010,Geomatica,journal,NA,http://discovery.ucl.ac.uk/150360/,"Among popular Web 2.0 applications are the social networking, photo-sharing websites like Flickr, Panoramio, Picasa Web and Geograph. The phenomenon of user-generated content and the increased presence of geographic information in such applications has motivated researchers to consider them as a source of geographic information. In this paper we question whether such Web applications can serve as a reliable sources of spatial content. We make the differentiation between spatially explicit and implicit applications, in accordance to their declared aims and evaluate if this has an impact of the spatial distribution of geotagged photos for Great Britain. We also compare the spatial distribution of the photos submitted with population data, and the patterns of contribution to these sources over a period of 18 months. Finally, at a larger scale, we examine the spatial distribution of photos and their spatial density for 15 test areas and look into issues such as data currency and user behaviour. Our findings show that only Web applications that urge users to interact directly with spatial entities can serve as a reliable universal sources of spatial content.",really interesting from the spatial statistics point of view,data-centric,data quality,credible information,man-made disaster,crowded areas,UK,NA,Multiple  sources ,Flickr; Panoramio; Picasa Web; Geograph,yes,base datasets  from OS; population data,exploratory,api,,,,,"descriptive statistics (e.g. mean, etc.); calculation of expectation surfaces using the chi-statistic (surface that both relates to the intensity of a phenomenon and to the location of people); analysis",Spatial distribution; spatial clustering; kernel density,basic mapping,no
p78,The Geospatial Characteristics of a Social Movement Communication Network,2013,PLOS One,journal,geographic conversations; geographic distribution; social communication,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0055957,,,data-centric,data preparation,location selection and classification,man-made disaster,protests events,Occupy Wall Street,NA,Twitter,,no,,exploratory,api,,,geo-parsing; classification (geographic profiles),,,,basic mapping,no
p78,The Geospatial Characteristics of a Social Movement Communication Network,2013,PLOS One,journal,geographic conversations; geographic distribution; social communication,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0055957,,,crisis-centric,crisis management (coordination and organization),communication networks,man-made disaster,protests events,Occupy Wall Street,NA,Twitter,,no,,exploratory,api,,,,SNA network analysis (geographic concentration),connectivity matrices (exploratory graphs),,basic mapping,no
p79,Rating crowdsourced annotations: evaluating contributions of variable quality and completeness,2014,International Journal of Digital Earth,journal,volunteered geographic information; accuracy; error,http://eprints.nottingham.ac.uk/2448/,,,data-centric,data quality,rating quality and completeness of data,natural disaster,earthquakes,2012 Haiti earthquake,NA,NA,,yes,several mapping agencies,exploratory,,,,,,latent class model (observe the patterns of class allocations made by contributions),,,no
p80,GeoScope: Online Detection of Geo-Correlated Information Trends in Social Networks,2013,Proceedings of VLDB Endowment,journal,NA,http://dx.doi.org/10.14778/2732240.2732242,"The First Law of Geography states ""Everything is related to everything else, but near things are more related than distant things"". This spatial significance has implications in various applications, trend detection being one of them. In this paper we propose a new algorithmic tool,ÿGeoScope, to detect geo-trends.ÿGeoScopeÿis a data streams solution that detects correlations between topics and locations in a sliding window, in addition to analyzing topics and locations independently.ÿGeoScopeÿoffers theoretical guarantees for detecting all trending correlated pairs while requiring only sub-linear space and running time. We perform various human validation tasks to demonstrate the value ofÿGeoScope.ÿThe results show that human judges preferÿGeoScopeÿto the best performing baseline solution 4:1 in terms of the geographical significance of the presented information. As the Twitter analysis demonstrates,ÿGeoScopeÿsuccessfully filters out topics without geo-intent and detects various local interests such as emergency events, political demonstrations or cultural events. Experiments on Twitter show thatÿGeoScopeÿhas perfect recall and near-perfect precision.",,crisis-centric,crisis management (monitoring),event-relevant extraction,man-made disaster,crowded areas,largest cities ,emergency managers,Twitter,,no,,exploratory,api,,,,,exploratory graphs,geoScope algorithm; density surface maps (heatmaps),basic mapping,yes
p101,Volunteered Geographic Information for Disaster Management with Application to Rapid Flood Damage Estimation,2010,Geomatica,journal,NA,http://gfzpublic.gfz-potsdam.de/pubman/item/escidoc:240838:1,"All phases of disaster management require up-to-date and accurate information. Different in-situ and remote sensor systems help to monitor dynamic properties such as water levels or inundated areas. New Internet technologies have facilitated fast and easy data collection from the public, giving rise to the idea of using Volunteered Geographic Information (VGI) to aid disaster management. This paper discusses the opportunities and challenges of using VGI for disaster management with particular focus on information for the response and recovery phases. Different approaches to assessing VGI data quality are presented and discussed. In a case study, the fitness for use of observations from the affected population for rapid flood damage estimation is demonstrated to be comparable to estimates based on hydraulic modelling. Further research needs with respect to the case study and to VGI for disaster management in general are identified.",,application-centric,crisis management (monitoring),variables monitoring,natural disaster,floodings,2002 Floods Germany,response agencies,Phone calls,,,,exploratory,,,,georeferencing,,,kriging,basic mapping,no
p101,Volunteered Geographic Information for Disaster Management with Application to Rapid Flood Damage Estimation,2010,Geomatica,journal,NA,http://gfzpublic.gfz-potsdam.de/pubman/item/escidoc:240838:1,"All phases of disaster management require up-to-date and accurate information. Different in-situ and remote sensor systems help to monitor dynamic properties such as water levels or inundated areas. New Internet technologies have facilitated fast and easy data collection from the public, giving rise to the idea of using Volunteered Geographic Information (VGI) to aid disaster management. This paper discusses the opportunities and challenges of using VGI for disaster management with particular focus on information for the response and recovery phases. Different approaches to assessing VGI data quality are presented and discussed. In a case study, the fitness for use of observations from the affected population for rapid flood damage estimation is demonstrated to be comparable to estimates based on hydraulic modelling. Further research needs with respect to the case study and to VGI for disaster management in general are identified.",,application-centric,crisis management (recovery and response),collective damage assessment,natural disaster,floodings,2002 Floods Germany,response agencies,Phone calls,,,,exploratory,,,,georeferencing,,,kriging,basic mapping,no
p102,Relationship between the spatial distribution of SMS messages reporting needs and building damage in 2010 Haiti disaster,2012,Natural Hazards and Earth System Sciences,journal,NA,http://dx.doi.org/10.5194/nhess-12-255-2012,"Just 4 days after the M = 7.1 earthquake on 12 January 2010, Haitians could send SMS messages about their location and urgent needs through the on-line mapping platform Ushahidi. This real-time crowdsourcing of crisis information provided direct support to key humanitarian resources on the ground, including Search and Rescue teams. In addition to its use as a knowledge base for rescue operations and aid provision, the spatial distribution of geolocated SMS messages may represent an early indicator on the spatial distribution and on the intensity of building damage. This work explores the relationship between the spatial patterns of SMS messages and building damage. The latter is derived from the detailed damage assessment of individual buildings interpreted in post-earthquake airborne photos. The interaction between SMS messages and building damage is studied by analyzing the spatial structure of the corresponding bivariate patterns. The analysis is performed through the implementation of cross Ripley's K-function which is suitable for characterizing the spatial structure of a bivariate pattern, and more precisely the spatial relationship between two types of point sets located in the same study area. The results show a strong attraction between the patterns exhibited by SMS messages and building damages. The interactions identified between the two patterns suggest that the geolocated SMS can be used as early indicators of the spatial distribution of building damage pattern. Accordingly, a statistical model has been developed to map the distribution of building damage from the geolocated SMS pattern. The study presented in this paper is the first attempt to derive quantitative estimates on the spatial patterns of novel crowdsourced information and correlate these to established methods in damage assessment using remote sensing data. The consequences of the study findings for rapid damage detection in post-emergency contexts are discussed",,application-centric,crisis management (recovery and response),collective damage assessment,natural disaster,earthquakes,2010 Haiti earthquake,humanitarian agencies,SMS,Usahidi platform,yes,,inferential,,,,,"K-Ripley, Strauss model",,,basic mapping,no
p103,Triangulating Social Multimedia Content for Event Localization using Flickr and Twitter: Triangulating Social Multimedia Content for Event Localization,2015,Transactions in GIS,journal,NA,http://dx.doi.org/10.1111/tgis.12122,"The analysis of social media content for the extraction of geospatial information and event-related knowledge has recently received substantial attention. In this article we present an approach that leverages the complementary nature of social multimedia content by utilizing heterogeneous sources of social media feeds to assess the impact area of a natural disaster. More specifically, we introduce a novel social multimedia triangulation process that uses both Twitter and Flickr content in an integrated two-step process: Twitter content is used to identify toponym references associated with a disaster; this information is then used to provide approximate orientation for the associated Flickr imagery, allowing us to delineate the impact area as the overlap of multiple view footprints. In this approach, we practically crowdsource approximate orientations from Twitter content and use this information to orient Flickr imagery accordingly and identify the impact area through viewshed analysis and viewpoint integration. This approach enables us to avoid computationally intensive image analysis tasks associated with traditional image orientation, while allowing us to triangulate numerous images by having them pointed towards the crowdsourced toponym location. The article presents our approach and demonstrates its performance using a real-world wildfire event as a representative application case study.",,application-centric,crisis management (monitoring),actionable information,natural disaster,wildfires,Waldo Canyon wildfire,NA,Twitter; Flickr,,,,methodological,,NLP,,,,,"Getis Ord *, viewshed analysis",basic mapping,yes
p104,Spatial patterns and demographic indicators of effective social media content during the Horsethief Canyon fire of 2012,2013,Cartography and Geographic Information Science,journal,wildfire; situational awareness; nearest neighbor; hot spot analysis; spatial autocorrelation; ols; gwr,http://dx.doi.org/10.1080/15230406.2013.776727,"A significant challenge during any emergency response scenario is the timely compilation of actionable data from disparate sources. Although numerous strategies exist, crisis mapping techniques have emerged as effective tools for synthesizing and visualizing event specific data when establishing situational awareness. User generated content (UGC) voluntarily submitted through social networking outlets (e.g., Twitter, Instagram, Flickr, and others) are increasingly being consumed and mined for actionable data (e.g., Goodchildÿ2007; Elwood, Goodchild, and Suiÿ2012). Despite its apparent value as a rich and instantaneous source of actionable content, little research has emerged examining the underlying demographic characteristics that are likely to produce effective crowdsourced content during a crisis. Accordingly, this study collected and synthesized user generated data extracted from multiple social networks during theÿHorsethief Canyon Fireÿthat occurred near Jackson, Wyoming, in September 2012. The spatial distribution of wildfire and non-wildfire specific UGC were compared to confirm the presence of a social networking user base that contributed to situational awareness. Regression analysis was used to identify relevant demographic characteristics that reflect the portion of the impacted community that will voluntarily contribute meaningful data about the fire. The preliminary findings suggest that emergency responders can use these techniques to quickly and efficiently assess the efficacy of mining actionable data from social media in a given community. Recommendations for additional research are discussed and provided.",,data-centric,data quality,event-relevant extraction,natural disaster,wildfires,Horsethief Canyon wildfire 2012,response agencies,Twitter; Flickr; Instagram,,no,,inferential,,collection,,,,OLS regression,GWR,basic mapping,no
p104,Spatial patterns and demographic indicators of effective social media content during the Horsethief Canyon fire of 2012,2013,Cartography and Geographic Information Science,journal,wildfire; situational awareness; nearest neighbor; hot spot analysis; spatial autocorrelation; ols; gwr,http://dx.doi.org/10.1080/15230406.2013.776727,"A significant challenge during any emergency response scenario is the timely compilation of actionable data from disparate sources. Although numerous strategies exist, crisis mapping techniques have emerged as effective tools for synthesizing and visualizing event specific data when establishing situational awareness. User generated content (UGC) voluntarily submitted through social networking outlets (e.g., Twitter, Instagram, Flickr, and others) are increasingly being consumed and mined for actionable data (e.g., Goodchildÿ2007; Elwood, Goodchild, and Suiÿ2012). Despite its apparent value as a rich and instantaneous source of actionable content, little research has emerged examining the underlying demographic characteristics that are likely to produce effective crowdsourced content during a crisis. Accordingly, this study collected and synthesized user generated data extracted from multiple social networks during theÿHorsethief Canyon Fireÿthat occurred near Jackson, Wyoming, in September 2012. The spatial distribution of wildfire and non-wildfire specific UGC were compared to confirm the presence of a social networking user base that contributed to situational awareness. Regression analysis was used to identify relevant demographic characteristics that reflect the portion of the impacted community that will voluntarily contribute meaningful data about the fire. The preliminary findings suggest that emergency responders can use these techniques to quickly and efficiently assess the efficacy of mining actionable data from social media in a given community. Recommendations for additional research are discussed and provided.",,human-centric,human activities,hotspots,natural disaster,wildfires,Horsethief Canyon wildfire 2012,response agencies,Twitter; Flickr; Instagram,,no,,inferential,,collection,,,,OLS regression,GWR,basic mapping,no
p105,Assessing uncertainty in VGI for emergency response,2014,Cartography and Geographic Information Science,journal,VGI; uncertainty; emergency response; attribute quality; GIS,http://dx.doi.org/10.1080/15230406.2014.950332,"This research project examines the geographic data produced by volunteers via the Ushahidi web platform in response to the earthquake that struck Haiti in January 2010. Volunteers translated messages (text, e-mail, and voice) submitted by victims of the earthquake, categorized each message into a primary ?emergency need? category and subcategory, and georeferenced each message on a dynamic web-based map. Initial inspection of the categorized data indicated discrepancies between the emergency need submitted by victims and the subsequent categorization of the emergency need. Analysis of the main categorical data illustrated that 50% of the messages were mis-categorized by the volunteers, failing to convey the main idea of the victim?s message. At the subcategory level, approximately 73% of the messages failed to convey the main idea of the messages. These numbers are higher than the estimate of 36% error in categorization produced in an independent review of the Haiti Ushahidi database. While the volunteer response to the Haitian earthquake represents a paradigm shift in emergency response and victim empowerment that has been repeated in numerous natural and man-made disasters around the world, this study suggests the need for more research on the quality of the categorization (i.e., attribute data) of volunteered emergency data.",,data-centric,data quality,accuracy,natural disaster,earthquakes,2010 Haiti earthquake,humanitarian agencies,SMS,Usahidi platform,no,,descriptive,,classification,,,comparison,,,none,no
